OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.112	urn:cts:greekLit:tlg0012.tlg001.msA:1.402
urn:cite:hmt:venAsign.113	urn:cts:greekLit:tlg0012.tlg001.msA:1.403
urn:cite:hmt:venAsign.114	urn:cts:greekLit:tlg0012.tlg001.msA:1.404
urn:cite:hmt:venAsign.115	urn:cts:greekLit:tlg0012.tlg001.msA:1.405
urn:cite:hmt:venAsign.116	urn:cts:greekLit:tlg0012.tlg001.msA:1.412
urn:cite:hmt:venAsign.117	urn:cts:greekLit:tlg0012.tlg001.msA:1.424
urn:cite:hmt:venAsign.118	urn:cts:greekLit:tlg0012.tlg001.msA:1.425
urn:cite:hmt:venAsign.119	urn:cts:greekLit:tlg0012.tlg001.msA:1.429
urn:cite:hmt:venAsign.120	urn:cts:greekLit:tlg0012.tlg001.msA:1.443
urn:cite:hmt:venAsign.121	urn:cts:greekLit:tlg0012.tlg001.msA:1.444
urn:cite:hmt:venAsign.122	urn:cts:greekLit:tlg0012.tlg001.msA:1.454
urn:cite:hmt:venAsign.123	urn:cts:greekLit:tlg0012.tlg001.msA:1.459
urn:cite:hmt:venAsign.124	urn:cts:greekLit:tlg0012.tlg001.msA:1.461
urn:cite:hmt:venAsign.125	urn:cts:greekLit:tlg0012.tlg001.msA:1.467
urn:cite:hmt:venAsign.126	urn:cts:greekLit:tlg0012.tlg001.msA:1.472
urn:cite:hmt:venAsign.127	urn:cts:greekLit:tlg0012.tlg001.msA:1.473
urn:cite:hmt:venAsign.128	urn:cts:greekLit:tlg0012.tlg001.msA:1.474
urn:cite:hmt:venAsign.129	urn:cts:greekLit:tlg0012.tlg001.msA:1.477
urn:cite:hmt:venAsign.130	urn:cts:greekLit:tlg0012.tlg001.msA:1.493
urn:cite:hmt:venAsign.131	urn:cts:greekLit:tlg0012.tlg001.msA:1.497
urn:cite:hmt:venAsign.132	urn:cts:greekLit:tlg0012.tlg001.msA:1.526
urn:cite:hmt:venAsign.133	urn:cts:greekLit:tlg0012.tlg001.msA:1.530
urn:cite:hmt:venAsign.134	urn:cts:greekLit:tlg0012.tlg001.msA:1.564
urn:cite:hmt:venAsign.135	urn:cts:greekLit:tlg0012.tlg001.msA:1.567
urn:cite:hmt:venAsign.136	urn:cts:greekLit:tlg0012.tlg001.msA:1.572
urn:cite:hmt:venAsign.137	urn:cts:greekLit:tlg0012.tlg001.msA:1.578
urn:cite:hmt:venAsign.138	urn:cts:greekLit:tlg0012.tlg001.msA:2.2
urn:cite:hmt:venAsign.139	urn:cts:greekLit:tlg0012.tlg001.msA:2.6
urn:cite:hmt:venAsign.140	urn:cts:greekLit:tlg0012.tlg001.msA:2.8
urn:cite:hmt:venAsign.141	urn:cts:greekLit:tlg0012.tlg001.msA:2.10
urn:cite:hmt:venAsign.142	urn:cts:greekLit:tlg0012.tlg001.msA:2.27
urn:cite:hmt:venAsign.143	urn:cts:greekLit:tlg0012.tlg001.msA:2.27
urn:cite:hmt:venAsign.144	urn:cts:greekLit:tlg0012.tlg001.msA:2.36
urn:cite:hmt:venAsign.145	urn:cts:greekLit:tlg0012.tlg001.msA:2.41
urn:cite:hmt:venAsign.146	urn:cts:greekLit:tlg0012.tlg001.msA:2.45
urn:cite:hmt:venAsign.147	urn:cts:greekLit:tlg0012.tlg001.msA:2.49
urn:cite:hmt:venAsign.148	urn:cts:greekLit:tlg0012.tlg001.msA:2.55
urn:cite:hmt:venAsign.149	urn:cts:greekLit:tlg0012.tlg001.msA:2.56
urn:cite:hmt:venAsign.150	urn:cts:greekLit:tlg0012.tlg001.msA:2.64
urn:cite:hmt:venAsign.151	urn:cts:greekLit:tlg0012.tlg001.msA:2.64
urn:cite:hmt:venAsign.152	urn:cts:greekLit:tlg0012.tlg001.msA:2.70
urn:cite:hmt:venAsign.153	urn:cts:greekLit:tlg0012.tlg001.msA:2.76
urn:cite:hmt:venAsign.154	urn:cts:greekLit:tlg0012.tlg001.msA:2.77
urn:cite:hmt:venAsign.155	urn:cts:greekLit:tlg0012.tlg001.msA:2.78
urn:cite:hmt:venAsign.156	urn:cts:greekLit:tlg0012.tlg001.msA:2.79
urn:cite:hmt:venAsign.157	urn:cts:greekLit:tlg0012.tlg001.msA:2.80
urn:cite:hmt:venAsign.158	urn:cts:greekLit:tlg0012.tlg001.msA:2.81
urn:cite:hmt:venAsign.159	urn:cts:greekLit:tlg0012.tlg001.msA:2.82
urn:cite:hmt:venAsign.160	urn:cts:greekLit:tlg0012.tlg001.msA:2.87
urn:cite:hmt:venAsign.161	urn:cts:greekLit:tlg0012.tlg001.msA:2.89
urn:cite:hmt:venAsign.162	urn:cts:greekLit:tlg0012.tlg001.msA:2.93
