Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:1.79,"urn:cite:hmt:vaimg.VA013VN_0515@0.481,0.2742,0.317,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.80,"urn:cite:hmt:vaimg.VA013VN_0515@0.483,0.2885,0.344,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.81,"urn:cite:hmt:vaimg.VA013VN_0515@0.475,0.311,0.344,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.82,"urn:cite:hmt:vaimg.VA013VN_0515@0.48,0.3306,0.365,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.83,"urn:cite:hmt:vaimg.VA013VN_0515@0.481,0.3501,0.351,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.84,"urn:cite:hmt:vaimg.VA013VN_0515@0.469,0.3689,0.395,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.85,"urn:cite:hmt:vaimg.VA013VN_0515@0.475,0.3907,0.357,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.86,"urn:cite:hmt:vaimg.VA013VN_0515@0.482,0.4072,0.352,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.87,"urn:cite:hmt:vaimg.VA013VN_0515@0.478,0.4252,0.356,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.88,"urn:cite:hmt:vaimg.VA013VN_0515@0.482,0.4448,0.341,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.89,"urn:cite:hmt:vaimg.VA013VN_0515@0.482,0.4651,0.349,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.90,"urn:cite:hmt:vaimg.VA013VN_0515@0.48,0.4846,0.349,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.91,"urn:cite:hmt:vaimg.VA013VN_0515@0.48,0.5056,0.349,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.92,"urn:cite:hmt:vaimg.VA013VN_0515@0.485,0.5244,0.349,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.93,"urn:cite:hmt:vaimg.VA013VN_0515@0.485,0.5432,0.349,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.94,"urn:cite:hmt:vaimg.VA013VN_0515@0.48,0.5605,0.349,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.95,"urn:cite:hmt:vaimg.VA013VN_0515@0.483,0.5763,0.357,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.96,"urn:cite:hmt:vaimg.VA013VN_0515@0.48,0.595,0.35,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.97,"urn:cite:hmt:vaimg.VA013VN_0515@0.485,0.6123,0.35,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.98,"urn:cite:hmt:vaimg.VA013VN_0515@0.482,0.6341,0.368,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.99,"urn:cite:hmt:vaimg.VA013VN_0515@0.482,0.6536,0.344,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.100,"urn:cite:hmt:vaimg.VA013VN_0515@0.482,0.6724,0.361,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.101,"urn:cite:hmt:vaimg.VA014RN_0015@0.192,0.2329,0.33,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.102,"urn:cite:hmt:vaimg.VA014RN_0015@0.182,0.2509,0.316,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.103,"urn:cite:hmt:vaimg.VA014RN_0015@0.187,0.269,0.366,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.104,"urn:cite:hmt:vaimg.VA014RN_0015@0.184,0.2885,0.352,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.105,"urn:cite:hmt:vaimg.VA014RN_0015@0.184,0.3058,0.352,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:1.106,"urn:cite:hmt:vaimg.VA014RN_0015@0.185,0.3231,0.352,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:1.107,"urn:cite:hmt:vaimg.VA014RN_0015@0.184,0.3441,0.337,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.108,"urn:cite:hmt:vaimg.VA014RN_0015@0.182,0.3629,0.346,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.109,"urn:cite:hmt:vaimg.VA014RN_0015@0.18,0.3832,0.333,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:1.110,"urn:cite:hmt:vaimg.VA014RN_0015@0.18,0.4035,0.343,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:1.111,"urn:cite:hmt:vaimg.VA014RN_0015@0.18,0.4237,0.332,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.112,"urn:cite:hmt:vaimg.VA014RN_0015@0.178,0.441,0.348,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.113,"urn:cite:hmt:vaimg.VA014RN_0015@0.18,0.4606,0.389,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.114,"urn:cite:hmt:vaimg.VA014RN_0015@0.177,0.4793,0.348,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.115,"urn:cite:hmt:vaimg.VA014RN_0015@0.178,0.4996,0.374,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.116,"urn:cite:hmt:vaimg.VA014RN_0015@0.173,0.5177,0.376,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.117,"urn:cite:hmt:vaimg.VA014RN_0015@0.177,0.5364,0.342,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.118,"urn:cite:hmt:vaimg.VA014RN_0015@0.172,0.5575,0.367,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.119,"urn:cite:hmt:vaimg.VA014RN_0015@0.171,0.5763,0.307,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.120,"urn:cite:hmt:vaimg.VA014RN_0015@0.165,0.5943,0.387,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.121,"urn:cite:hmt:vaimg.VA014RN_0015@0.165,0.6131,0.387,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.122,"urn:cite:hmt:vaimg.VA014RN_0015@0.173,0.6349,0.336,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.123,"urn:cite:hmt:vaimg.VA014RN_0015@0.169,0.6559,0.353,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.124,"urn:cite:hmt:vaimg.VA014RN_0015@0.171,0.6732,0.324,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.125,"urn:cite:hmt:vaimg.VA014RN_0015@0.169,0.689,0.34,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.126,"urn:cite:hmt:vaimg.VA014VN_0516@0.468,0.22,0.348,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.127,"urn:cite:hmt:vaimg.VA014VN_0516@0.468,0.2387,0.348,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.128,"urn:cite:hmt:vaimg.VA014VN_0516@0.472,0.2568,0.352,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.129,"urn:cite:hmt:vaimg.VA014VN_0516@0.468,0.2763,0.35,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.130,"urn:cite:hmt:vaimg.VA014VN_0516@0.468,0.2943,0.352,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.131,"urn:cite:hmt:vaimg.VA014VN_0516@0.474,0.3108,0.347,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.132,"urn:cite:hmt:vaimg.VA014VN_0516@0.475,0.3281,0.351,0.0345"
urn:cts:greekLit:tlg0012.tlg001.msA:1.133,"urn:cite:hmt:vaimg.VA014VN_0516@0.475,0.3506,0.356,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.134,"urn:cite:hmt:vaimg.VA014VN_0516@0.477,0.3694,0.356,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.135,"urn:cite:hmt:vaimg.VA014VN_0516@0.472,0.3904,0.341,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:1.136,"urn:cite:hmt:vaimg.VA014VN_0516@0.477,0.4092,0.345,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:1.137,"urn:cite:hmt:vaimg.VA014VN_0516@0.481,0.4287,0.345,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:1.138,"urn:cite:hmt:vaimg.VA014VN_0516@0.476,0.4482,0.335,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.139,"urn:cite:hmt:vaimg.VA014VN_0516@0.479,0.4685,0.347,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.140,"urn:cite:hmt:vaimg.VA014VN_0516@0.478,0.4865,0.347,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.141,"urn:cite:hmt:vaimg.VA014VN_0516@0.48,0.5045,0.356,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.142,"urn:cite:hmt:vaimg.VA014VN_0516@0.481,0.5263,0.346,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.143,"urn:cite:hmt:vaimg.VA014VN_0516@0.483,0.542,0.345,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:1.144,"urn:cite:hmt:vaimg.VA014VN_0516@0.483,0.5623,0.35,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.145,"urn:cite:hmt:vaimg.VA014VN_0516@0.482,0.5818,0.302,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.146,"urn:cite:hmt:vaimg.VA014VN_0516@0.482,0.5991,0.344,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.147,"urn:cite:hmt:vaimg.VA014VN_0516@0.481,0.6194,0.326,0.0285"
